Horsepower,Weight,MPG,Origin
130,3504,18,USA
165,3693,15,USA
150,3436,18,USA
150,3433,16,USA
140,3449,17,USA
198,4341,15,USA
220,4354,14,USA
215,4312,14,USA
225,4425,14,USA
190,3850,15,USA
115,3090,NaN,France
165,4142,NaN,USA
153,4034,NaN,USA
175,4166,NaN,USA
175,3850,NaN,USA
170,3563,15,USA
160,3609,14,USA
140,3353,NaN,USA
150,3761,15,USA
225,3086,14,USA
95,2372,24,Japan
95,2833,22,USA
97,2774,18,USA
85,2587,21,USA
88,2130,27,Japan
46,1835,26,Germany
87,2672,25,France
90,2430,24,Germany
95,2375,25,Sweden
113,2234,26,Germany
90,2648,21,USA
215,4615,10,USA
200,4376,10,USA
210,4382,11,USA
193,4732,9,USA
88,2130,27,Japan
90,2264,28,USA
95,2228,25,Japan
NaN,2046,25,USA
48,1978,NaN,Germany
100,2634,19,USA
105,3439,16,USA
100,3329,17,USA
88,3302,19,USA
100,3288,18,USA
165,4209,14,USA
175,4464,14,USA
153,4154,14,USA
150,4096,14,USA
180,4955,12,USA
170,4746,13,USA
175,5140,13,USA
110,2962,18,USA
72,2408,22,USA
100,3282,19,USA
88,3139,18,USA
86,2220,23,USA
90,2123,28,Germany
70,2074,30,France
76,2065,30,Italy
65,1773,31,Japan
69,1613,35,Japan
60,1834,27,Germany
70,1955,26,USA
95,2278,24,Japan
80,2126,25,USA
54,2254,23,Germany
90,2408,20,USA
86,2226,21,USA
165,4274,13,USA
175,4385,14,USA
150,4135,15,USA
153,4129,14,USA
150,3672,17,USA
208,4633,11,USA
155,4502,13,USA
160,4456,12,USA
190,4422,13,USA
97,2330,19,Japan
150,3892,15,USA
130,4098,13,USA
140,4294,13,USA
150,4077,14,USA
112,2933,18,Sweden
76,2511,22,Germany
87,2979,21,France
69,2189,26,France
86,2395,22,USA
92,2288,28,Japan
97,2506,23,Japan
80,2164,28,USA
88,2100,27,Japan
175,4100,13,USA
150,3672,14,USA
145,3988,13,USA
137,4042,14,USA
150,3777,15,USA
198,4952,12,USA
150,4464,13,USA
158,4363,13,USA
150,4237,14,USA
215,4735,13,USA
225,4951,12,USA
175,3821,13,USA
105,3121,18,USA
100,3278,16,USA
100,2945,18,USA
88,3021,18,USA
95,2904,23,USA
46,1950,26,Germany
150,4997,11,USA
167,4906,12,USA
170,4654,13,USA
180,4499,12,USA
100,2789,18,USA
88,2279,20,Japan
72,2401,21,USA
94,2379,22,Japan
90,2124,18,Japan
85,2310,19,USA
107,2472,21,USA
90,2265,26,Italy
145,4082,15,USA
230,4278,16,USA
49,1867,29,Italy
75,2158,24,Germany
91,2582,20,Germany
112,2868,19,Sweden
150,3399,15,USA
110,2660,24,Sweden
122,2807,20,Japan
180,3664,11,USA
95,3102,20,USA
NaN,2875,21,USA
100,2901,19,USA
100,3336,15,USA
67,1950,31,Japan
80,2451,26,USA
65,1836,32,Japan
75,2542,25,USA
100,3781,16,USA
110,3632,16,USA
105,3613,18,USA
140,4141,16,USA
150,4699,13,USA
150,4457,14,USA
140,4638,14,USA
150,4257,14,USA
83,2219,29,Germany
67,1963,26,Germany
78,2300,26,Germany
52,1649,31,Japan
61,2003,32,Japan
75,2125,28,USA
75,2108,24,Italy
75,2246,26,Italy
97,2489,24,Japan
93,2391,26,Japan
67,2000,31,Italy
95,3264,19,USA
105,3459,18,USA
72,3432,15,USA
72,3158,15,USA
170,4668,16,USA
145,4440,15,USA
150,4498,16,USA
148,4657,14,USA
110,3907,17,USA
105,3897,16,USA
110,3730,15,USA
95,3785,18,USA
110,3039,21,USA
110,3221,20,USA
129,3169,13,USA
75,2171,29,Japan
83,2639,23,USA
100,2914,20,USA
78,2592,23,USA
96,2702,24,Japan
71,2223,25,Germany
97,2545,24,Japan
97,2984,18,USA
70,1937,29,Germany
90,3211,19,USA
95,2694,23,Germany
88,2957,23,France
98,2945,22,Sweden
115,2671,25,Sweden
53,1795,33,Japan
86,2464,28,Italy
81,2220,25,Germany
92,2572,25,USA
79,2255,26,USA
83,2202,27,France
140,4215,17.5,USA
150,4190,16,USA
120,3962,15.5,USA
152,4215,14.5,USA
100,3233,22,USA
105,3353,22,USA
81,3012,24,USA
90,3085,22.5,USA
52,2035,29,USA
60,2164,24.5,USA
70,1937,29,Germany
53,1795,33,Japan
100,3651,20,USA
78,3574,18,USA
110,3645,18.5,USA
95,3193,17.5,USA
71,1825,29.5,Germany
70,1990,32,Japan
75,2155,28,Japan
72,2565,26.5,USA
102,3150,20,Sweden
150,3940,13,USA
