MPG,Acceleration,Weight,Model_Year
18,12,3504,70
15,11.5,3693,70
18,11,3436,70
16,12,3433,70
17,10.5,3449,70
15,10,4341,70
14,9,4354,70
14,8.5,4312,70
14,10,4425,70
15,8.5,3850,70
NaN,17.5,3090,70
NaN,11.5,4142,70
NaN,11,4034,70
NaN,10.5,4166,70
NaN,11,3850,70
15,10,3563,70
14,8,3609,70
NaN,8,3353,70
15,9.5,3761,70
14,10,3086,70
24,15,2372,70
22,15.5,2833,70
18,15.5,2774,70
21,16,2587,70
27,14.5,2130,70
26,20.5,1835,70
25,17.5,2672,70
24,14.5,2430,70
25,17.5,2375,70
26,12.5,2234,70
21,15,2648,70
10,14,4615,70
10,15,4376,70
11,13.5,4382,70
9,18.5,4732,70
28,15.5,2464,76
25,16.9,2220,76
25,14.9,2572,76
26,17.7,2255,76
27,15.3,2202,76
17.5,13,4215,76
16,13,4190,76
15.5,13.9,3962,76
14.5,12.8,4215,76
22,15.4,3233,76
22,14.5,3353,76
24,17.6,3012,76
22.5,17.6,3085,76
29,22.2,2035,76
24.5,22.1,2164,76
29,14.2,1937,76
33,17.4,1795,76
20,17.7,3651,76
18,21,3574,76
18.5,16.2,3645,76
17.5,17.8,3193,76
29.5,12.2,1825,76
32,17,1990,76
28,16.4,2155,76
26.5,13.6,2565,76
20,15.7,3150,76
13,13.2,3940,76
19,21.9,3270,76
19,15.5,2930,76
16.5,16.7,3820,76
16.5,12.1,4380,76
13,12,4055,76
13,15,3870,76
13,14,3755,76
28,19.6,2605,82
27,18.6,2640,82
34,18,2395,82
31,16.2,2575,82
29,16,2525,82
27,18,2735,82
24,16.4,2865,82
23,20.5,3035,82
36,15.3,1980,82
37,18.2,2025,82
31,17.6,1970,82
38,14.7,2125,82
36,17.3,2125,82
36,14.5,2160,82
36,14.5,2205,82
34,16.9,2245,82
38,15,1965,82
32,15.7,1965,82
38,16.2,1995,82
25,16.4,2945,82
38,17,3015,82
26,14.5,2585,82
22,14.7,2835,82
32,13.9,2665,82
36,13,2370,82
27,17.3,2950,82
27,15.6,2790,82
44,24.6,2130,82
32,11.6,2295,82
28,18.6,2625,82
31,19.4,2720,82
